Feature,Importance
Curricular_units_2nd_sem_approved,0.2591676097665973
Curricular_units_1st_sem_approved,0.1440193973982901
Curricular_units_2nd_sem_grade,0.12179374072674574
Curricular_units_1st_sem_grade,0.08595756800190087
Admission_grade,0.07658242643185914
Age_at_enrollment,0.07261727683656363
Previous_qualification_grade,0.06682345024009191
Tuition_fees_up_to_date,0.05954645204056137
Curricular_units_2nd_sem_evaluations,0.0577468353802745
Curricular_units_1st_sem_evaluations,0.05574524317711538
